ID_juntos;ID;Provincia;Enclave;COSERID;Ejemplo;Preposicion_anterior;Forma;Preposicion_de;Definitud_termino;Termino_tipo;Verbo;Observaciones;Búsqueda
103;79;León;Lorenzana (Cuadros);2614;I2 :  De aquella ya lo sé. Ay, Dios mío.  I1 :  Ahora uno o dos, uno o dos. Ahora... [HS:I3 [A-Inn] tú.]  I2 :   En casa mi madre... Fuimos catorce y vivimos once pues hasta no hace mucho.   E1 :  ¿Y llevaban a los hijos fuera a estudiar o...?  I2 :  Bueno, alguno. ;en;casa;no;definido;parentesco;estado;;casa + ø
104;82;León;Lucillo;2644;I1 :  Las abejas hay dos, tres vecinos que las tienen, pocos, pero ya...  I2 :  Pero vienen a revisárselas también y, y a... [R-Vcs] Vienen a revisárselas y a ver si están bien atendidas o no están, porque, pa que la miel está buena y eso..., no, ahora no, ahora no está la miel no es mala, es una miel bien limpia y bien buena, ahora sí.  I3 :  [A-Inn]  I1 :   |T18| Una vez que vinieron los militares por aquí, que prisioneros y todo que fueron allí a dormir cada uno le mandaban a ir a dormir a los vecinos, dos a cada vecino, y en nuestra casa durmieron, en casa mi madre durmieron dos...   I2 :  Les lavábamos la ropa y eso...  I1 :  Pero eso fue otra vez, vinieron tantas veces, boba.... Y me acuerdo yo que..., pues a la noche cuando nos cenábamos le dimos un trocín de chorizo y un trocín de tocino cuando pa cenar del antes de la comida y dijo: «¡Ay!», dijo uno: «¡Ay, qué tocinillo ese qué rico, con lo que me gusta a mí!, ¡si yo tuviera de ese tocino! ¡ay cuánto me gusta a mí el tocinillo!». Entonces le llamaba tocinillo. Por eso que también, por otros sitios las pasaban mal, no sólo aquí. ;en;casa;no;definido;parentesco;estado;;casa + ø
105;105;Salamanca;Alaraz;3601;I1 :  Sí, boba, unas toallas, una cosa de esas, mu poco, [HS:E1 [Asent].] ya te digo que entonces se espigaba mu poco. No es como ahora que vas a la boda, hija, y tienes que dar ahí... miles de pesetas.  E2 :  [Asent].  E1 :  ¿Y el vestido de la novia eh... se lo [HS:I1 Pues el] hacían?  I1 :   vestido de la novia, cuando yo, lo hacíamos en casa las modistas que había. Aquí había una modista, en esta casa que está cerrada, [HS:E1 [Asent].] ahí había una modista que cosía... ¡Ole!   E1 :  ¿Sí?  I1 :  Ella y yo como hermanas [HS:E1 [Asent].] y..., y el | pues un vestido negro.  E1 :  ¿Negro?  E2 :  ¡Negro!  I1 :  Sí, negro, con una mantilla, que llevabas una peineta alta y una mantilla y ese era el traje que llevaba la novia. <br><hr color='ligth blue' width=80% size=1><br>;en;casa;no;definido;otro;estado;¿ambiguo?;casa + ø
106;123;Toledo;Los Navalmorales;4218;I1 :  Y a los, a los dieciocho días de marcharse él a la guerra, nació la niña.  I2 :  Ah, sí, a los ocho meses que vino a conocerme, ¿no?  I1 :   Claro. Y yo me marché en casa mis padres, a, a dar a luz, como ya me quedé sola, pues... Me quedé... [A-Inn] casa de mis padres, allí di a luz, y allí se crió la niña, y a los dos años, tenía la niña dos años cuando vino, cuando vino él. [HS:I2 Pero a los ocho] Que, [A-Inn].   I2 :  meses me conoció, que se escapó. [RISAS]  I1 :  Y a, eh, [HS:I2 Se escapó, pobrecito,] a los ocho meses... <br><hr color='ligth blue' width=80% size=1><br>;en;casa;no;definido;parentesco;movimiento;;casa + ø
107;1;Álava;Menagarai;109; I1 :  Claro, como venían aquí, pos aquí te conocías. [HS:E1 Y...] O sea que normalmente son todos de por aquí cerca los chicos que se han casao con las chicas de aquí, porque como..., pos eran de estos pueblos y aquí venían, pos tampoco no hay ninguno de lejos. Sí.  E1 :  Y, ¿qué le iba a decir? ¿Qué era lo normal, que la chica se quedara a vivir en casa de..., o sea, quién era..., si los dos eran de pueblo distinto, quién era el que se desplazaba? ¿Quién se iba...?  I1 :   Normalmente siempre iba... Cedía él a casa de ella.   E1 :  A casa de ella.  I1 :  Bueno, o, o también ella a casa la suegra, o sea, eso depende. ;a;casa;si;pronombre personal;pronombre;movimiento;;en a de casa de
109;4;Albacete;Barrax;204; I1 :  Y estuvo unos días y yo...  I2 :  Y tú estabas temblando que viniera.  I1 :   No, no, no, no. [RISAS] No. Cómo se pon-, pondría al, al ama que el día de santa Quiteria le hizo... Porque a mí me dijo... Cómo [A-Inn] cómo lo verá que le dijo, dije: «¿Sabe usté lo que he pensao pa el día de santa Quiteria? Que se quede [NP]... y, y nos lleva con el carro a los chiquillos y a mí». [A-Inn] llevarse a los chicos a santa Quiteria. Entonces que venían con el turrón y to aquello... [HS:I3 Sí.] Y eso es unas perras [A-PIn: pa] los críos. «Pues sí, [NP], quédate, pues sí». [A-Inn] Y entonces [A-Inn] a casa de..., de la, de [A-PIn: mi salvaora. Que tuvo que] comprar la otra casa. Y, y claro, pos na se traje- | se vinieron los chiquillos. Metimos el carro allí. Y allí estaba la [NP] contem- | Una que le decían la Jov- | de la [NP], de Bandelaras o no sé qué, que también era un poco...   I2 :  Algo me suena, pero no lo...  I1 :  Sí, un poco bastante. Y estaba de [A-Inn] en el otro lao, como que comprometió a la otra que también era de por allí. [A-Inn] La comprometió para... [A-PIn: Y va] y dice la pájara que, que naranjas de la China. [RISAS] Digo: [A-PIn: «Ahí] te has equivocao». ;a;casa;si;definido;otro;movimiento;;en a de casa de
110;5;Albacete;Barrax;204;I1 :  Resulta de que, de que una mañana estaba yo acostao y como le había buscao un señor, buscaba... a los segadores. No el amo, el..., [A-PIn: el amo era el...] | La siega, él ya llevaba allí tiempo... Lo mismo que yo buscaba al, al ayudante pa que me echara [A-Inn].  I2 :  [Asent].  I1 :  Le... Que buscaba yo. Porque estaba la cosa... mal para encontrar entonces, [TOS] en aquellos tiempos. Y..., y decían: «¡Excedentes! Esos los van | se los van a llevar a la Guinea. ¡Se los van a llevar no sé ánde! [A-Inn] Los tán engañando». Y claro, [A-PIn: cuando nos buscaron.] Y ese que ya tenía... dos de familia. [R-Prt] [V-Ljn]  I2 :  [A-Inn]  I1 :   [HS:E2 Gracias.] [A-PIn: Con la mujer embarazada, jóvenes.] Y, y entonces él pos [A-PIn: me escollejó]. No quería [A-Inn], dije: «¡Toma!, ¿y si me llaman? ¿Y si me llaman pa irme?». Y entonces faltaba gente, para la, para la recolección faltaba gente. [R-Glp] Y me se presenta y dice: «Vamos a, a | en casa de [NP], que tie que estar allí. Que a veces... Que... Me paece que, que lo vi anoche». Dice: «Que tie que estar allí. Que tiene que estar allí», dice, «y le preguntamos ¿a ver qué dice él de eso?» [HS:E2 Aja.] Digo: «¿Dice usted que se va? Que se vaya». Digo: «Porque ¿sabe usted que están en | dando con permiso aposta para hacer la recolección? Están dando... permisos». Digo: «Así es que usted con toda seguridad que se vaya». ¡Si estaba yo acostao [OTRAS-EM] desde allí! Dice... Que claro, que estaba la puerta muy cerca de la cocina, de la habitación. [HS:E2 [Asent].] Y estoy hablando, y claro, se lió la conversa- | la amistad y..., y querían..., me decían allí los que había, porque había temporadas que nos juntábamos entre albañiles y cosas de esas nos juntábamos allí diez o doce, y, y decían: «La chiquilla ésta, la [NP], si le dijieras algo, [NP], [A-PIn: te hacías] con ella. [RISAS] Y está mu bien». Dice: «Está mu bien». Uno era [NP], el del vecero.   I2 :  El cachondo.  I1 :  El cachondo, exacto. No quería decir esa palabra. [RISAS] ;en;casa;si;NP;NP;movimiento;;en a de casa de
111;6;Albacete;Barrax;204;I2 :  [HS:E3 Gracias.] Bueno, [NP]... Y muchas gracias [A-Inn] más que nadie.  I1 :  ¿Eh?  I2 :  A mí... [A-Inn] más que nadie. [A-PIn: Las gracias, porque no hubieras querido atenderme.]  I1 :   ¡Ah! ¡Sí, hombre! No. Total iba, iba a ir a | voy a ir ahora a casa de mi hijo, a dar una vuelta. Voy...   E1 :  [HS:I1 [A-Inn]] Pues se ha parado un poquito. Nos ha, nos ha contado un poquito su vida.  I1 :  Pues ya está. [HS:E1 Muy bien, señor, pues muchísimas...] No, he contao poquito, lo ha dicho usté bien. ;a;casa;si;definido;parentesco;movimiento;;en a de casa de
112;7;Alicante;El Mojón (Pilar de la Horadada);306; I :  El mismo, [R_Tlf] que no es el mismo... [R_Tlf] Vamos a ver si me dejáis tranquilo un poco... [HCruz: Sí... ¡Ay!, ya, ya lo ha oído... No, que me han llamado otras veces, y ahora pues, me, se me ha ocurrido decir... Bah, pos mira, uno se lo tiene que cargar, ¿qué vas a hacer?, hija, ¿qué vas a hacer? Dime cosas, dime cosas que no sepa yo... Ah, anda, anda. Venga, pero, ¿vas a tardar mucho? [R-Vnt]  Pero, antonces tú sabes que ya allí no está, es que ella... Aca-, acaba de llamar, a-, acaba de llamarme a mí y..., pero que dice que se iba, pero ya no sé si se habrá ido o no, pero bueno... Es que, eh, espérate, espérate que te diga... Las llaves las | se las llevó el nieto pa allá... Yo no sé, pero bueno, de todas maneras, voy, ¿tú sales de tu casa pa acá? Y yo, y yo te, y yo, y... Eh, ¿me esperas o te espero allí en...? Pero, yo llegaré antes que tú. Sí, yo te, yo te espero, yo te espero, te espero allí. Venga, vale... Venga... Hasta ahora.] ¡Bueno!, lo siento no poder seguir, pero ahora sí que, de verdad, ahora ya ni, ni, [HS:E2 No se preocupe.] ni puedo seguir haciendo lo que, ahora me tengo, me, me tengo que ir.  E3 :  Que le toca trabajar ahora...  I :   |T11| Ahora me tengo que ir, que... a, a casa de..., de una hija mía, que me acaba de llamar una sobrina, que viene pa..., pa allá, pa que le abra la puerta. En fin, [HS:E2 Muy bien.] poquica cosa más los puedo contar... pos, vamos, poca cosa más porque yo, es que, eh... prácticamente casi lo que sé, ya lo he dicho.   E2 :  Muy bien.  I :  Entonces pues... habrá pues quien... personas que..., que aún sepan más que yo...  E3 :  No, [HS:I En cuanto al campo.] pero usted sabe, [HS:E [Asent].] usted sabe... mucho. ;a;casa;si;indefinido;parentesco;movimiento;;en a de casa de
113;8;Alicante;Salinas;310; E3 :  ¿Y eso se ha hecho siempre lo de...?  I1 :  Y se ha hecho sí, siempre no, pero ya hace años, [HS:E3 Ya hace mucho, ya.] ya hace años. Mira esta ca-, mi nietecica esta qu'ha entrao. Mire, vestida de festera.  E1 :  Ah sí.  I1 :   Y en el | en Sas, en casa de los otros abuelos, salió. Mire, el, el nieto, vestido de aquí de Salinas.   E1 :  Ah, sí.  I1 :  Y la nieta, mírala.  E3 :  También.  I1 :  Abajo, de aquí en Salinas. [HS:E2 [Asent].] También, esos son los trajes que tienen ellos. ;en;casa;si;definido;parentesco;ambiguo;;en a de casa de
114;9;Alicante;Busot;304; I1 :  Sí, así en particular tenían gallinas o conejos, poco, cuatro huevos caseros que salían, pero muy poco y todas las casas no tenían eso.  E1 :  ¿No?  I1 :  Habían unas cuantas a lo mejor, porque a toda la gente no le gustan los animales, en mi casa no han habido nunca animales.  E1 :  ¿No? ¿Y eso?  I1 :   Ni... nada de nada. Sin embargo, en casa de mi suegra, pos tenían gallinas, conejos, un burro pequeño también.   E1 :  Sí.  I1 :  Una caballería pequeña, claro, para traer el agua a cuestas, sí, en la caballería, el agua potable no estaba en las casas.  E1 :  ¿No? Y entonces, ¿cómo...? ;en;casa;si;definido;parentesco;estado;;en a de casa de
115;10;Alicante;Busot;304;E1 :  |T14| Y bueno ya que ha dicho usted lo de las bodas, ¿cómo se conocían antes los chicos y las chicas?  I1 :  ¿Cómo?  E1 :  ¿Cómo se conocían antes los chicos y las chicas?  I1 :   Pues muy bien, yo me hice novia cuando la mujer iba a casa de un particular también que tenía un rebaño de ovejas y de cabras a recoger la leche y entonces salíamos del colegio, íbamos a jugar un rato o a merendar y luego nos íbamos por, si es como estamos ahora aquí, venían tres o cuatro chicas a, a llevarse la leche o algo y así, o lo mismo yo yendo al colegio, que íbamos hasta los catorce años al colegio, a los catorce años a trabajar.   E1 :  ¿A los catorce años ya trabajaban?  I1 :  A los catorce años, yo empecé a trabajar a los doce, ya iba a recoger almendras y algarrobas en los meses de verano. ;a;casa;si;indefinido;otro;movimiento;;en a de casa de
116;198;Alicante;Benimarfull;303;" I2 :  Y venían de Vara... y, y [A-Inn] y entonces ahí hubo un médico, primero hubo un médico aquí que venía, estaba aquí en el pueblo, pero en después aquel se fue y eso ya, que no me recuerdo el nombre porque yo era pequeño que por cierto [R-Vhc] no sé si me se conoce... a ver sí, [A-PIn: aquí, aquí], a ya no sé, ya no sé, aquí creo que era, aquí [A-Inn], aquí me, me hice una rajá en un pino subiendo que tenía y, y, y tenía así de dedos las ramitas las cortaban así y, y, y el tronco así, así como [A-Inn], y otro yo se fuimos que tenía también el, la, el, po, por la matanza del cerdo y se fuimos a pasturar y allá a un barranco y, y resulta que [TOS] estamos a- | y, y se fuimos los dos, él también tienes cabritas y, [OTRAS-EM] y yo iba mi hermano, pero como era la matanza y es el invierno a veces llovía y no había trabajo en el campo, [HS:E2 [Asent].] pues entonces y fue aquel día y fuimos los dos allá y subí a un pino y subí a un pino y, y estaba to lleno de garranchitos de esos que habían cortao las ramitas, ¡caray! me acuerdo [A-Inn] de arriba y había un margen que era como, como esa casa de alto, [L-Otra: més] alto y el pino arriba allá y, y, y subí yo pa arriba y eso y cuando ya estaba casi bajo se rompió un, un, un tronquito de esos y el otro me agarró y me ¡ra! y me, cinco puntos me pegaron a mí [HS:E2 [Asent].] y me llenó e-, el, el, llevaba unos zapatos de goma y llenó de sangre y me vino a pie pa que me curaran y entonces eso era, había un médico así, eso, [HS:E2 [Asent].] en después el hombre ya se fue, no sé pa otra parte o ya, pues era, era listo y eso y entonces el, el, don, don [NP], que le llamaban ahí, era, era especialista de la pe-, de la piel y, y vino él a atender dos veces y tenía un hermano que era también, que era... tenía la farmacia, en fin, tenía otro hermano que era abogao, en fin, y, y está, después ya, ya se hizo mal el hombre, después también hizo uno de Muro aquí, un médico de Muro vino pa aquí y eso, aquí siempre ha habido bueno.  E2 :  ¿Y el médico iba a las casa a visitar a...?  I2 :   No, ibas a la casa de él, [CARRASP] [HS:E2 [Asent].] ahora sí, ir, si... no podías ir, iba a casa de él, claro, cómo no, claro, sí a, a casa de uno, no, y estamos igualaos pagamos tanto ca vez, ¿comprendes? [HS:E2 [Asent].] Si, si, si lo utilizaba o no utilizaba le pagamos al mes por cinco, diez pesetas, lo que fuera, eso no me acuerdo yo lo que era y correcto, [HS:E2 [Asent].] así que, sí, y [L-Otra: ara] si estabas que muy enfermo y eso [CARRASP] resulta que te cobraba prima, ¿comprende?, te cobraba prima, eso ya si él necesita y eso me lo curó, eso iba yo a casa de él a curarme, [HS:E2 [Asent].] sí, así que sí.   E2 :  ¿Y los medicamentos?  I2 :  Ah, eso lo tenía comprar y pagalo uno, eh, por eso lo que le he dicho yo, que entonces yo me vi a mi madre y to eso, por eso cuando compré la casita yo no, dije: ""Eso hay que pagarlo pronto porque no sabe uno cómo se va a ver"". [HS:E2 [Asent].] [HCruz: ¡[NP]! [RISAS]  ";a;casa;si;pronombre personal;pronombre;movimiento;;en a de casa de
117;199;Alicante;Benimarfull;303;" I2 :  Y venían de Vara... y, y [A-Inn] y entonces ahí hubo un médico, primero hubo un médico aquí que venía, estaba aquí en el pueblo, pero en después aquel se fue y eso ya, que no me recuerdo el nombre porque yo era pequeño que por cierto [R-Vhc] no sé si me se conoce... a ver sí, [A-PIn: aquí, aquí], a ya no sé, ya no sé, aquí creo que era, aquí [A-Inn], aquí me, me hice una rajá en un pino subiendo que tenía y, y, y tenía así de dedos las ramitas las cortaban así y, y, y el tronco así, así como [A-Inn], y otro yo se fuimos que tenía también el, la, el, po, por la matanza del cerdo y se fuimos a pasturar y allá a un barranco y, y resulta que [TOS] estamos a- | y, y se fuimos los dos, él también tienes cabritas y, [OTRAS-EM] y yo iba mi hermano, pero como era la matanza y es el invierno a veces llovía y no había trabajo en el campo, [HS:E2 [Asent].] pues entonces y fue aquel día y fuimos los dos allá y subí a un pino y subí a un pino y, y estaba to lleno de garranchitos de esos que habían cortao las ramitas, ¡caray! me acuerdo [A-Inn] de arriba y había un margen que era como, como esa casa de alto, [L-Otra: més] alto y el pino arriba allá y, y, y subí yo pa arriba y eso y cuando ya estaba casi bajo se rompió un, un, un tronquito de esos y el otro me agarró y me ¡ra! y me, cinco puntos me pegaron a mí [HS:E2 [Asent].] y me llenó e-, el, el, llevaba unos zapatos de goma y llenó de sangre y me vino a pie pa que me curaran y entonces eso era, había un médico así, eso, [HS:E2 [Asent].] en después el hombre ya se fue, no sé pa otra parte o ya, pues era, era listo y eso y entonces el, el, don, don [NP], que le llamaban ahí, era, era especialista de la pe-, de la piel y, y vino él a atender dos veces y tenía un hermano que era también, que era... tenía la farmacia, en fin, tenía otro hermano que era abogao, en fin, y, y está, después ya, ya se hizo mal el hombre, después también hizo uno de Muro aquí, un médico de Muro vino pa aquí y eso, aquí siempre ha habido bueno.  E2 :  ¿Y el médico iba a las casa a visitar a...?  I2 :   No, ibas a la casa de él, [CARRASP] [HS:E2 [Asent].] ahora sí, ir, si... no podías ir, iba a casa de él, claro, cómo no, claro, sí a, a casa de uno, no, y estamos igualaos pagamos tanto ca vez, ¿comprendes? [HS:E2 [Asent].] Si, si, si lo utilizaba o no utilizaba le pagamos al mes por cinco, diez pesetas, lo que fuera, eso no me acuerdo yo lo que era y correcto, [HS:E2 [Asent].] así que, sí, y [L-Otra: ara] si estabas que muy enfermo y eso [CARRASP] resulta que te cobraba prima, ¿comprende?, te cobraba prima, eso ya si él necesita y eso me lo curó, eso iba yo a casa de él a curarme, [HS:E2 [Asent].] sí, así que sí.   E2 :  ¿Y los medicamentos?  I2 :  Ah, eso lo tenía comprar y pagalo uno, eh, por eso lo que le he dicho yo, que entonces yo me vi a mi madre y to eso, por eso cuando compré la casita yo no, dije: ""Eso hay que pagarlo pronto porque no sabe uno cómo se va a ver"". [HS:E2 [Asent].] [HCruz: ¡[NP]! [RISAS]  ";a;casa;si;pronombre indefindo;pronombre;movimiento;;en a de casa de
118;200;Alicante;Benimarfull;303;" I2 :  Y venían de Vara... y, y [A-Inn] y entonces ahí hubo un médico, primero hubo un médico aquí que venía, estaba aquí en el pueblo, pero en después aquel se fue y eso ya, que no me recuerdo el nombre porque yo era pequeño que por cierto [R-Vhc] no sé si me se conoce... a ver sí, [A-PIn: aquí, aquí], a ya no sé, ya no sé, aquí creo que era, aquí [A-Inn], aquí me, me hice una rajá en un pino subiendo que tenía y, y, y tenía así de dedos las ramitas las cortaban así y, y, y el tronco así, así como [A-Inn], y otro yo se fuimos que tenía también el, la, el, po, por la matanza del cerdo y se fuimos a pasturar y allá a un barranco y, y resulta que [TOS] estamos a- | y, y se fuimos los dos, él también tienes cabritas y, [OTRAS-EM] y yo iba mi hermano, pero como era la matanza y es el invierno a veces llovía y no había trabajo en el campo, [HS:E2 [Asent].] pues entonces y fue aquel día y fuimos los dos allá y subí a un pino y subí a un pino y, y estaba to lleno de garranchitos de esos que habían cortao las ramitas, ¡caray! me acuerdo [A-Inn] de arriba y había un margen que era como, como esa casa de alto, [L-Otra: més] alto y el pino arriba allá y, y, y subí yo pa arriba y eso y cuando ya estaba casi bajo se rompió un, un, un tronquito de esos y el otro me agarró y me ¡ra! y me, cinco puntos me pegaron a mí [HS:E2 [Asent].] y me llenó e-, el, el, llevaba unos zapatos de goma y llenó de sangre y me vino a pie pa que me curaran y entonces eso era, había un médico así, eso, [HS:E2 [Asent].] en después el hombre ya se fue, no sé pa otra parte o ya, pues era, era listo y eso y entonces el, el, don, don [NP], que le llamaban ahí, era, era especialista de la pe-, de la piel y, y vino él a atender dos veces y tenía un hermano que era también, que era... tenía la farmacia, en fin, tenía otro hermano que era abogao, en fin, y, y está, después ya, ya se hizo mal el hombre, después también hizo uno de Muro aquí, un médico de Muro vino pa aquí y eso, aquí siempre ha habido bueno.  E2 :  ¿Y el médico iba a las casa a visitar a...?  I2 :   No, ibas a la casa de él, [CARRASP] [HS:E2 [Asent].] ahora sí, ir, si... no podías ir, iba a casa de él, claro, cómo no, claro, sí a, a casa de uno, no, y estamos igualaos pagamos tanto ca vez, ¿comprendes? [HS:E2 [Asent].] Si, si, si lo utilizaba o no utilizaba le pagamos al mes por cinco, diez pesetas, lo que fuera, eso no me acuerdo yo lo que era y correcto, [HS:E2 [Asent].] así que, sí, y [L-Otra: ara] si estabas que muy enfermo y eso [CARRASP] resulta que te cobraba prima, ¿comprende?, te cobraba prima, eso ya si él necesita y eso me lo curó, eso iba yo a casa de él a curarme, [HS:E2 [Asent].] sí, así que sí.   E2 :  ¿Y los medicamentos?  I2 :  Ah, eso lo tenía comprar y pagalo uno, eh, por eso lo que le he dicho yo, que entonces yo me vi a mi madre y to eso, por eso cuando compré la casita yo no, dije: ""Eso hay que pagarlo pronto porque no sabe uno cómo se va a ver"". [HS:E2 [Asent].] [HCruz: ¡[NP]! [RISAS]  ";a;casa;si;pronombre personal;pronombre;movimiento;;en a de casa de
119;201;Asturias;Grullos (Candamo);528; I1 :  Yo antes, que yo he vendío yo manteca y a última hora ya tenía que llevarlo guardao, como ya era un rapaz, uno de Mieres, pues le tenía guardao y cuando venía decía: «¿Qué trajísteme? Sí, ya, que no lo [A-PIn: vié], ya [A-PIn: arribaba] él, que no me lu vieran, porque ya no se podía, había que andar sacando licencia y el demonio. [HS:E1 [Asent]. Claro.] [HS:I2 Y así [A-PIn: era] la vida.]  E1 :  ¿Y... ha dicho usted que tenían también ovejas?  I2 :   Había alguna. [HS:E1 [Asent].] Yo aquí nunca las tuve, en casa de mi madre sí las hubo, vaya, diez o doce, poca cantidad, no cantidad como por Castilla. Diez o doce... | bueno yo tenía, tenía un primo que [A-PIn: estaba] loco, de diez años fuime a casa de la tía a limpiar ovejas, aquél llegó a tener ciento, ciento y pico [HS:E1 Madre mía.] pero vaya, de, de lo normal eran tener cuatro cinco ovejas, alguna casa, todas tampoco las tenían.   E1 :  ¿Y cómo se cuidaban las ovejas?  I2 :  Al monte, a pacer [RISAS] y luego lindiarlas que no las fueran a atacar el perro o que las llevaran, y luego de noche pa la cuadra y limpiar lo posible, que [A-Inn] ya comían, ya comían hierba. Cuando estaba mal tiempo pues, pues ya se echaba hierba en la cuadra [HS:E1 [Asent].], paja [R-Grb]. ;en;casa;si;definido;parentesco;estado;;en a de casa de
120;14;Asturias;Grullos (Candamo);528; I1 :  Yo antes, que yo he vendío yo manteca y a última hora ya tenía que llevarlo guardao, como ya era un rapaz, uno de Mieres, pues le tenía guardao y cuando venía decía: «¿Qué trajísteme? Sí, ya, que no lo [A-PIn: vié], ya [A-PIn: arribaba] él, que no me lu vieran, porque ya no se podía, había que andar sacando licencia y el demonio. [HS:E1 [Asent]. Claro.] [HS:I2 Y así [A-PIn: era] la vida.]  E1 :  ¿Y... ha dicho usted que tenían también ovejas?  I2 :   Había alguna. [HS:E1 [Asent].] Yo aquí nunca las tuve, en casa de mi madre sí las hubo, vaya, diez o doce, poca cantidad, no cantidad como por Castilla. Diez o doce... | bueno yo tenía, tenía un primo que [A-PIn: estaba] loco, de diez años fuime a casa de la tía a limpiar ovejas, aquél llegó a tener ciento, ciento y pico [HS:E1 Madre mía.] pero vaya, de, de lo normal eran tener cuatro cinco ovejas, alguna casa, todas tampoco las tenían.   E1 :  ¿Y cómo se cuidaban las ovejas?  I2 :  Al monte, a pacer [RISAS] y luego lindiarlas que no las fueran a atacar el perro o que las llevaran, y luego de noche pa la cuadra y limpiar lo posible, que [A-Inn] ya comían, ya comían hierba. Cuando estaba mal tiempo pues, pues ya se echaba hierba en la cuadra [HS:E1 [Asent].], paja [R-Grb]. ;a;casa;si;definido;parentesco;movimiento;;en a de casa de
121;17;Asturias;Cadavedo (Valdés);523;"E1 :  [Asent]. [HS:I1 Sacái la,]   I1 :  la hoja a la panoya del maíz era esfoyar.  E3 :  [Asent].   I1 :   Que íbamos a las casas de, a todas las casas. [OTRAS-EM] Cuando tocaba a mi casa, en casa de mis padres, venían a casa mis padres, a la panera; cuando tenían estos otros vecinos d'aquí, ahí; cuando tenían los otros de más pa arriba, ahí. Luego, cuando teníamos estos aquí, pa abajo, todas estas casas, pues ahí. Hacíamos así, repartíamos, repartíamos y cuando hacíamos el pan cuando mi, igual aquí pa ahí pa abajo, no, hacáan na más los de aquí  y mi [OTRAS-EM] esos dueños de esa casa, más o menos, ahora llevámonos igual porque vive el hijo de la, de la madre que murió. Bueno, hacíamos nosotros, por ejemplo, masaba mi madre, hacía el pan, la boroña y un bollo así redondo de, del de maíz pa tomalo con leche y la rapa que iba con chorizo y todo eso. Bueno, pues hacíala pa nosotros, el bollo, la rapa y pa esa casa. Igual que pa nosotros, pa esa casa, ya luego en esa casa, hacían pa ellos y hacían pa nosotros, y así. Ayudar, ayudábamosnos con todos, a lo mejor, a segar, a... coger maíz y el maíz había, claro, si estaba verde la, la panoya, como llamaban, la panoya, pues había que deshacelo ya ponelo al sol pa que secara pa poder molelo porque si no, no se molía. Y el trigo, nosotros semábamos mucho trigo, esa huerta entera que teníamos ahí, ya dije yo a la mi hermana... yo yera mayor, ya tendría trece años, ya dije yo: ""¡Anda, anda, anda, que este año vamos a facer, a face-, a hartanos de tocar la lata!"". [OTRAS-EM]  la lata, ¿sabe pa lo que era? Pa espantá los pájaros, porque los pájaros van al trigo, a la espiga del trigo, y entonces mi padre fue cuando la guerra. Semó... bueno, [OTRAS-EM] a nosotros no nos faltao pan en todo el año, cuando la guerra. Ya dije yo a mi hermana, digo: ""¡Anda!, que vamos a faltarnos de tocá la, la lata"". Dijo ella: »¿Por qué?». Dije yo: ""Porque, ¿sabes lo que dijo tu padre ya-l mío? Que va a semá la mitad de la reguera de trigo, pa tener pan de trigo bastante, ya lo otro, de maíz"", y dije yo: ""Así que, pa los gorriones, vamos una por lao, otra va ¡toca, toca!"", y [Rndo: reíame sola]. [A-PIn: Dijo: ""¡Anda ya, estás loca!]"". Digo: ¡Non, non estoy loca! Que ya lo verás como yera verdad"". Ya, ya fue verdad, como yo le dije. Ya teníamos que ir pola mañana ya por la tarde. Veníamos a comer y volver pa allá, a tocá la lata. [RISA] [A-PIn: Rie-, riémonos, y dije yo]: ""Mira, yo ya, [RISA] yo ya me duelen las piernas de tanto andar por bajo, pa arriba, pa arriba, pa abajo"", digo: ""[A-PIn: Ahora, tocate a ti.]"".  ¡Ay. Dios [A-PIn: del alma]!, todo eso.   E1 :  ¿Y se contaban |[HS:I1 ¿Qué?]  Cuando, cuando se esfoyaba el maíz, ¿se contaban historias? [HS:I1 A-, a-, ajuntábamosnos]   I1 :  todo el mundo de todas las casas, en una casa hacíase el, el foyón que llamaban, el foyón, esfoyar la, quitar la hoja, eh, y tirábanla pa unas cosas, unas, unos... ¿Cómo llamaban? [A-PIn: Yo ya] no me acuerdo cómo se llamaban aquello, ya no me acuerdo, eh. Paxos, eran paxos de... hechos, que se compraban de mim-, de mimbres de... de madera y entonces echábamos las panoyas ahí, las que se iban... limpiando ya los que iban echano... recogi-, haciéndolo, echándolo polos rededores de los, de los zorrios, por dentro, eh. Y entonces una vez íbamos una noche,  lo íbamos pa un sitio, la otra noche, pues pa otro, pa todo el barrio. [OTRAS-EM] Y fuimos pa casa de unas amigas nuestras también, pa esa parte también, a eso, ya, y así hacíamos. Ya luego, el último día qui ya se acababa en las casas, pues entonces hacían el, hacíase el ramo. ";en;casa;si;definido;parentesco;estado;;en a de casa de
